"ID","البريد","الاسم","مؤكَّد","تاريخ إرسال رابط التأكيد","تاريخ التأكيد","تاريخ إرسال رسالة الترحيب","صلاحية حتى","أنشئ في","آخر تحديث","محاولات إعادة الإرسال (24h)"
"once-2","dev+once3@example.com","Once2","نعم","2026-01-23T16:20:03.933Z","2026-01-23T16:21:19.435Z","2026-01-23T16:20:07.084Z","","2026-01-23T16:20:03.931Z","2026-01-23T16:21:19.435Z","0"
"dynamic-test-1","dev+dynamic-test@example.com","نور","نعم","2026-01-23T16:11:18.626Z","2026-01-23T16:11:50.302Z","","2026-02-02T16:11:18Z","2026-01-23T16:11:18.624Z","2026-01-23T16:11:50.302Z","0"
"welcome-test-3","dev+welcome-test-3@example.com","سعيد","نعم","2026-01-23T16:06:53.453Z","2026-01-23T16:07:15.846Z","","","2026-01-23T16:06:53.451Z","2026-01-23T16:07:15.846Z","0"
"welcome-test-2","dev+welcome-test-2@example.com","ليلى","نعم","2026-01-23T16:03:51.660Z","2026-01-23T16:04:27.793Z","","","2026-01-23T16:03:51.659Z","2026-01-23T16:04:27.793Z","0"
"welcome-test-1","dev+welcome-test@example.com","أحمد","نعم","2026-01-23T16:01:17.684Z","2026-01-23T16:01:34.141Z","","","2026-01-23T16:01:17.683Z","2026-01-23T16:01:34.141Z","0"
"auto-test-once-1769181640690","dev+auto-test-once-1769181640690@example.com","OneTime Test","نعم","","2026-01-23T15:20:41.257Z","","","2026-01-23T15:20:40.729Z","2026-01-23T15:20:41.257Z","0"
"auto-test-once-1769181440779","dev+auto-test-once-1769181440779@example.com","OneTime Test","نعم","","2026-01-23T15:17:21.347Z","","","2026-01-23T15:17:20.819Z","2026-01-23T15:17:21.347Z","0"
"auto-test-once-1769181216349","dev+auto-test-once-1769181216349@example.com","OneTime Test","نعم","","2026-01-23T15:13:36.887Z","","","2026-01-23T15:13:36.379Z","2026-01-23T15:13:36.887Z","0"
"auto-test-once-1769181067093","dev+auto-test-once-1769181067093@example.com","OneTime Test","نعم","","2026-01-23T15:11:07.656Z","","","2026-01-23T15:11:07.132Z","2026-01-23T15:11:07.656Z","0"
"auto-test-once-1769180998440","dev+auto-test-once-1769180998440@example.com","OneTime Test","نعم","","2026-01-23T15:10:01.216Z","","","2026-01-23T15:09:58.479Z","2026-01-23T15:10:01.217Z","0"
"auto-test-once-1769179830241","dev+auto-test-once-1769179830241@example.com","OneTime Test","نعم","","2026-01-23T14:50:33.096Z","","","2026-01-23T14:50:30.297Z","2026-01-23T14:50:33.097Z","0"
"test-auto-1769179552","dev+test-auto-1769179552@example.com","Test User","لا","","","","","2026-01-23T14:45:52.498Z","2026-01-23T15:28:37.253Z","1"
"8b260fe0-7d14-4e7b-a973-e08a9ec9b6b3","b71490@gmail.com","amar","لا","","","","","2026-01-23T14:22:40.769Z","2026-01-23T14:25:18.365Z","0"
"test-email-1","user1@example.com","محل2","نعم","","2026-01-23T15:56:23.679Z","","","2026-01-23T14:14:51.281Z","2026-01-23T15:56:23.680Z","0"
